,ORG,count
0,CIA,345
1,KGB,92
2,Allied,56
3,FBI,45
4,SIS,38
5,British Intelligence,37
6,Congress,33
7,NATO,33
8,the Intelligence Community,30
9,SOE,29
10,Joint Intelligence Committee,28
11,Hamas,25
12,Foreign Office,24
13,NSA,23
14,Intelligence Services,21
