,GPE,count
0,USA,748
1,UK,448
2,Russia,335
3,Ukraine,167
4,Germany,145
5,Israel,132
6,France,92
7,Canada,86
8,Iraq,75
9,China,69
10,London,68
11,Japan,63
12,Australia,54
13,Washington,51
14,Moscow,50
