,PERSON,count
0,Adolf Hitler,109
1,Vladimir Putin,88
2,Andrew Hammond,64
3,Stalin,49
4,Winston Churchill,48
5,IC,46
6,James Bond,33
7,Bush,30
8,John le Carré,30
9,Mujibur Rahman,28
10,Reagan,24
11,Eisenhower,21
12,Andrew,21
13,Kim Philby,19
14,David,18
