variant,canonical
Cristiana Florina Matei,Florina Cristiana Matei
Paul M. McGarr,Paul M. McGarr
Antonio M. Díaz Fernández,Antonio M. Díaz-Fernández
Antonio M Díaz Fernández,Antonio M. Díaz-Fernández
Shaffer Ryan,Ryan Shaffer
Kira Vrist Ronn,Kira Vrist Rønn
Gordon Carera,Gordon Corera
Jack O'Connor,Jack O’Connor
Douglas M Charles,Douglas M. Charles
Joshi Shashank,Shashank Joshi
Eugenie de Silva,Eugene de Silva
Melvin A Goodman,Melvin Goodman
Daniel S. Gressang,Daniel S. Gressang IV
Kevin A O'Brien,Kevin A. O'Brien
Kevin A. O'brien,Kevin A. O'Brien
Davit Kukhalashvili,David Kukhalashvili
Patrick F Walsh,Patrick F. Walsh
Joseph W. Caddell Jr,Joseph W. Caddell Jr.
Michael Warner1,Michael Warner
Rhodri Jeffreys‐Jones,Rhodri Jeffreys-Jones
Ronald J Deibert,Ronald J. Deibert
Tryoy J. Sacquety,Troy J. Sacquety
Adrian O’Sullivan,Adrian O'Sullivan
Dr Muhammad Ajmal Abbasi,Muhammad Ajmal Abbasi
Darko Trifunović,Darko Trifunovic
J. R. Seeger,J.R. Seeger
Natasha Bertrannd,Natasha Bertrand
Katie B. Lillis,Katie Bo Lillis
Mateusz KolaszyŃski,Mateusz Kolaszyński
Niccolo Petrelli,Niccolò Petrelli
Jonathan Broader,Jonathan Broder
Joel Schechtman,Joel Schectman
Matthew Henn,Matthew Henman
Lester Genevieve,Genevieve Lester
Andrew Christopher,Christopher M. Andrew
Michele Black,Michelle Black
Adam D.M. Svendsen,Adam D. M. Svendsen
Uri Bar–Joseph,Uri Bar-Joseph
Uri Bar-joseph,Uri Bar-Joseph
Uri Bar‐Joseph,Uri Bar-Joseph
Bernardino Leon-Reyes,Bernardino León-Reyes
Asiimwe Solomon Muchwa,Solomon Muchwa Asiimwe
Christopher J Murphy,Christopher J. Murphy
Peter J Phillips,Peter J. Phillips
David Scheer,David Schaefer
Alexander H. Montgomery,Alexander E. Montgomery
Majak D’Agoôt,Majak D'Agoôt
Steve Usdin,Steven Usdin
Rose Mcdermott,Rose McDermott
Nicholas Dujmović,Nicholas Dujmovic
R.V. Jones,R. V. Jones
 GCHQ,GCHQ
Robert Johns,Robert Johnson
Christopher A. Williams,Christopher Williams
Karl Hackl,Karl Hack
J. Ramón Soler Fuensanta,José Ramón Soler Fuensanta
Sherman. Kent,Sherman Kent
Lawrence Freeman,Lawrence Freedman
 Intelligence and Security Committee of Parliament,Intelligence and Security Committee of Parliament
L. Britt Synder,L. Britt Snider
David M Barrett,David M. Barrett
Rob Johnston,Rob Johnson
Kathryn S Olmsted,Kathryn S. Olmsted
Thomas Wolf,Thomas Wolfe
Myron Varouhakis,Miron Varouhakis
Abraham Ben-Zvi,Abraham Ben‐Zvi
Glen Hastedt,Glenn Hastedt
Luco Guido Valla,Luca Guido Valla
Steven A. Stottlemyre,Steven Stottlemyre
Helmut Muller-Enbergs,Helmut Müller-Enbergs
Philip Deery,Phillip Deery
Richard K. Kilroy,Richard J. Kilroy
Jr, Jr
Jonathan D Clemente,Jonathan D. Clemente
P.R.J. Winter,P. R.J. Winter
J.W.M. Chapman,J. W.M. Chapman
Kristie Mackaris,Kristie Mackari
John E. Mclaughlin,John E. McLaughlin
Pete Davies,Peter Davies
Francis Macdonnell,Francis MacDonnell
Matthew M Aid,Matthew M. Aid
Mtthew M. Aid,Matthew M. Aid
Mathilde Von Bülow,Mathilde von Bülow
Giles Scott‐Smith,Giles Scott-Smith
Richard A. Best Jr,Richard A. Best Jr.
Ibrahim Al-Marashi̇,Ibrahim Al-Marashi
Anony Best,Antony Best
O'Brien Kevin,Kevin O'Brien
David H. Schimmelpenninck Van Der Oye,David Schimmelpenninck Van Der Oye
H. O. Dovey,H.O. Dovey
Klaus-Jürgen Müller,Klaus‐Jürgen Müller
Stéphane Lefebvre*,Stéphane Lefebvre
James M. Simon Jr,James M. Simon Jr.
Richards J. Heuer Jr,Richards J. Heuer Jr.
Andrew Brunatti,Andrew D Brunatti
Jürgen Rohwer,Jurgen Rohwer
David A. Messenger,David A Messenger
Francis J. Suttill,Francis J Suttill
