Title,Link,Publication Date,DOI,Journal,generated_at
Psyops for Hitler,https://doi.org/10.1080/08850607.2026.2713939,2026-08-27,10.1080/08850607.2026.2713939,International Journal of Intelligence and CounterIntelligence,2026-09-26T20:38:43.965043
Iran’s Ministry of Intelligence: a concise history,https://doi.org/10.1080/02684527.2026.2725489,2026-08-27,10.1080/02684527.2026.2725489,Intelligence & National Security,2026-09-26T20:38:43.965043
Modern War and Grey Zones: Design for Small States,https://doi.org/10.1080/08850607.2026.2701760,2026-08-27,10.1080/08850607.2026.2701760,International Journal of Intelligence and CounterIntelligence,2026-09-26T20:38:43.965043
Covert Action: The Irresistible Temptation,https://doi.org/10.1080/08850607.2026.2718811,2026-08-27,10.1080/08850607.2026.2718811,International Journal of Intelligence and CounterIntelligence,2026-09-26T20:38:43.965043
Beyond states and spies: the security intelligence services of the private sector,https://doi.org/10.1080/02684527.2026.2723647,2026-08-26,10.1080/02684527.2026.2723647,Intelligence & National Security,2026-09-26T20:38:43.965043
"Tradecraft, tactics, and dirty tricks: Russian intelligence and Putin’s secret war",https://doi.org/10.1080/02684527.2026.2722471,2026-08-25,10.1080/02684527.2026.2722471,Intelligence & National Security,2026-09-26T20:38:43.965043
The Enemy Within—Police Counterintelligence and Insider Prevention,https://doi.org/10.4324/9781003671312-13,2026-08-25,10.4324/9781003671312-13,Unknown,2026-09-26T20:38:43.965043
The DGSE: a concise history of France’s foreign intelligence service,https://doi.org/10.1080/02684527.2026.2722473,2026-08-22,10.1080/02684527.2026.2722473,Intelligence & National Security,2026-09-26T20:38:43.965043
"Spies, culture and society: coming in from the cold",https://doi.org/10.1080/02684527.2026.2719083,2026-08-19,10.1080/02684527.2026.2719083,Intelligence & National Security,2026-09-26T20:38:43.965043
The Chief Minister and the Spy: An Unlikely Friendship,https://doi.org/10.1080/16161262.2026.2713375,2026-08-02,10.1080/16161262.2026.2713375,Journal of Intelligence History,2026-09-26T20:38:43.965043
Israeli defence and intelligence before and after October 2023: the cultural roots of strategic surprise and resilience,https://doi.org/10.1080/13537121.2026.2710441,2026-07-25,10.1080/13537121.2026.2710441,Israel Affairs,2026-09-26T20:38:43.965043
"The Milieu, Science, and Logic of Feedback Control: Counterintelligence From Control Practice",https://doi.org/10.1109/mcs.2026.3688206,2026-07-21,10.1109/mcs.2026.3688206,IEEE Control Systems,2026-09-26T20:38:43.965043
