,Zotero link,DOI,ID,Citation,OA status,Citation_list,First_citation_year,Last_citation_year,Publication_year,OA_link,Year_difference
27,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/W38CDT9E,10.1080/02684527.2025.2468048,https://openalex.org/W4408058544,0,False,https://api.openalex.org/works?filter=cites:W4408058544,,,2025,,
28,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/UB82ATE5,10.1177/02576430251314015,https://openalex.org/W4408042902,0,False,https://api.openalex.org/works?filter=cites:W4408042902,,,2025,https://doi.org/10.1177/02576430251314015,
29,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/XGKZE2P7,10.25602/GOLD.bjmh.v11i1.1877,,,,,,,,,
30,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/LU3YBMVY,10.1080/14683857.2025.2469380,https://openalex.org/W4407994482,0,False,https://api.openalex.org/works?filter=cites:W4407994482,,,2025,,
31,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/RIDBVI3A,10.1080/08850607.2024.2441092,https://openalex.org/W4407805372,0,False,https://api.openalex.org/works?filter=cites:W4407805372,,,2025,,
32,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/HKSW8UU5,10.1080/02684527.2025.2466267,https://openalex.org/W4407858005,0,True,https://api.openalex.org/works?filter=cites:W4407858005,,,2025,https://doi.org/10.1080/02684527.2025.2466267,
33,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/4PL5JWYJ,10.1002/nad.70000,https://openalex.org/W4407959150,0,False,https://api.openalex.org/works?filter=cites:W4407959150,,,2025,https://doi.org/10.1002/nad.70000,
34,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/ENZJKLMT,10.1134/S101933162470031X,https://openalex.org/W4407856589,0,False,https://api.openalex.org/works?filter=cites:W4407856589,,,2024,,
35,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/S48G7ZWQ,10.1080/02684527.2025.2468051,https://openalex.org/W4407842682,0,True,https://api.openalex.org/works?filter=cites:W4407842682,,,2025,https://doi.org/10.1080/02684527.2025.2468051,
36,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/8DVUCNZH,10.1080/07292473.2025.2463758,https://openalex.org/W4407778606,0,True,https://api.openalex.org/works?filter=cites:W4407778606,,,2025,https://www.tandfonline.com/doi/pdf/10.1080/07292473.2025.2463758?needAccess=true,
37,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/DHVEBXJC,10.1080/02684527.2025.2466266,https://openalex.org/W4407776854,0,False,https://api.openalex.org/works?filter=cites:W4407776854,,,2025,,
38,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/LFXBIUSW,10.1080/02684527.2025.2466265,https://openalex.org/W4407775915,0,False,https://api.openalex.org/works?filter=cites:W4407775915,,,2025,,
39,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/2FDS7TMF,10.21810/jicw.v7i3.6849,https://openalex.org/W4407864922,0,True,https://api.openalex.org/works?filter=cites:W4407864922,,,2025,https://doi.org/10.21810/jicw.v7i3.6849,
40,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/G842DNKA,10.1017/S002187581700086X,https://openalex.org/W2609366364,6,True,https://api.openalex.org/works?filter=cites:W2609366364,2020,2023,2017,http://wrap.warwick.ac.uk/87325/7/WRAP-Nixon-axe-man-Moran-2017.pdf,3
41,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/QMA6H6QA,10.35467/sdq/196516,https://openalex.org/W4407282235,0,True,https://api.openalex.org/works?filter=cites:W4407282235,,,2025,https://doi.org/10.35467/sdq/196516,
42,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/U37WDN6Y,10.1080/18335330.2025.2465529,https://openalex.org/W4407673390,0,True,https://api.openalex.org/works?filter=cites:W4407673390,,,2025,https://doi.org/10.1080/18335330.2025.2465529,
43,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/VTWN3IJX,10.1080/18335330.2025.2467953,https://openalex.org/W4407712349,0,False,https://api.openalex.org/works?filter=cites:W4407712349,,,2025,,
44,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/JBBD4IXQ,10.1080/02684527.2025.2461901,https://openalex.org/W4407649466,0,False,https://api.openalex.org/works?filter=cites:W4407649466,,,2025,,
45,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/MILPEPJ9,10.9734/ajrcos/2025/v18i1554,https://openalex.org/W4406575212,1,True,https://api.openalex.org/works?filter=cites:W4406575212,,,2025,https://doi.org/10.9734/ajrcos/2025/v18i1554,
46,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/BAR9FYH9,10.1080/08850607.2024.2441094,https://openalex.org/W4407562889,0,False,https://api.openalex.org/works?filter=cites:W4407562889,,,2025,,
47,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/US5APBXC,10.1080/08850607.2024.2436673,https://openalex.org/W4407429810,0,False,https://api.openalex.org/works?filter=cites:W4407429810,,,2025,,
48,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/VNHAF88Z,10.1080/14608944.2024.2439795,https://openalex.org/W4406298092,0,True,https://api.openalex.org/works?filter=cites:W4406298092,,,2025,https://doi.org/10.1080/14608944.2024.2439795,
49,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/PG3UCZG5,10.12775/SDR.2024.EN8.04,https://openalex.org/W4406334160,0,True,https://api.openalex.org/works?filter=cites:W4406334160,,,2025,https://doi.org/10.12775/sdr.2024.en8.04,
50,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/VTUXE8E4,10.9734/ajrcos/2025/v18i1557,https://openalex.org/W4406725043,1,True,https://api.openalex.org/works?filter=cites:W4406725043,,,2025,https://doi.org/10.9734/ajrcos/2025/v18i1557,
51,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/H7R5V8BE,10.1080/17419166.2025.2459067,,,,,,,,,
52,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/X3VBCFCB,10.1109/MSPEC.2025.10876757,,,,,,,,,
53,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/NF3DEZM9,10.33445/psssj.2024.5.4.8,,,,,,,,,
54,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/9HB8FL4Y,10.1080/09546553.2024.2444292,,,,,,,,,
55,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/F38XRVMC,10.14746/ssp.2024.2.3,,,,,,,,,
56,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/HQMQIQY6,10.1080/07075332.2024.2323499,,,,,,,,,
57,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/EVAIVKCL,10.1080/08850607.2024.2435265,,,,,,,,,
58,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/RKKBG3EU,10.3316/informit.T2025012300000200010687565,,,,,,,,,
59,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/BS5YUPDF,10.35467/sdq/197248,,,,,,,,,
60,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/HUSPSFKX,10.1017/S1816383124000584,,,,,,,,,
61,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/34EQEZY8,10.62383/sosial.v2i1.1277,,,,,,,,,
62,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/7XGGEU73,10.1093/ehr/ceae259,https://openalex.org/W4406354208,0,True,https://api.openalex.org/works?filter=cites:W4406354208,,,2025,https://doi.org/10.1093/ehr/ceae259,
63,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/5FDRTEZE,10.36948/ijfmr.2025.v07i01.34975,https://openalex.org/W4406628575,0,False,https://api.openalex.org/works?filter=cites:W4406628575,,,2025,https://doi.org/10.36948/ijfmr.2025.v07i01.34975,
64,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/4FAKXDL6,10.1080/18335330.2025.2452841,https://openalex.org/W4406410567,0,False,https://api.openalex.org/works?filter=cites:W4406410567,,,2025,,
65,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/L6Y5XQUK,10.1080/18335330.2024.2448343,https://openalex.org/W4406451980,0,True,https://api.openalex.org/works?filter=cites:W4406451980,,,2025,https://doi.org/10.1080/18335330.2024.2448343,
66,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/QE2VR4MN,10.1080/16161262.2025.2450582,https://openalex.org/W4406469683,0,True,https://api.openalex.org/works?filter=cites:W4406469683,,,2025,https://doi.org/10.1080/16161262.2025.2450582,
