,attachmentKey,parentKey,parentTitle,linkTitle,url
233,YRDUIL5L,QKMVV2CZ,First Casualty: The Untold Story of the CIA Mission to Avenge 9/11,Book review by Mike R.,https://www.cia.gov/resources/csi/studies-in-intelligence/volume-66-no-1-march-2022/review-first-casualty-the-untold-story-of-the-cia-mission-to-avenge-9-11/
234,BN79I6LI,M36S9KDW,Nazis on the Potomac: The Top-Secret Intelligence Operation that Helped Win World War II,Book review by Warren Fishbein,https://www.cia.gov/resources/csi/studies-in-intelligence/volume-66-no-2-june-2022/review-nazis-on-the-potomac-the-top-secret-intelligence-operation-that-helped-win-world-war-ii/
235,DRNJPGQL,ZB85JHJA,Spying from the Sky: At the Controls of US Cold War Aerial Intelligence,Book review by David A. Welker,https://www.cia.gov/resources/csi/studies-in-intelligence/volume-66-no-3-september-2022/review-spying-from-the-sky-at-the-controls-of-u-s-cold-war-aerial-intelligence/
236,YZLSZKK4,PWMCXUBL,A Drop of Treason: Philip Agee and His Exposure of the CIA,Book review by Brent Geary,https://www.cia.gov/resources/csi/studies-in-intelligence/volume-66-no-3-september-2022/review-a-drop-of-treason-philip-agee-and-his-exposure-of-the-cia/
237,XP2M23FJ,I6FRQFFB,"The First Counterspy: Larry Haas, Bell Aircraft, and the FBI's Attempt to Capture a Soviet Mole",Book review by David A. Walker,https://www.cia.gov/resources/csi/studies-in-intelligence/volume-66-no-4-december-2022/review-the-first-counterspy-larry-haas-bell-aircraft-and-the-fbis-attempt-to-capture-a-soviet-mole/
238,9VCP7RQC,P9CACXI7,The KGB and the Vatican: Secrets of the Mitrokhin Files,Book review by John C.,https://www.cia.gov/resources/csi/studies-in-intelligence/volume-66-no-4-december-2022/review-the-kgb-and-the-vatican-secrets-of-the-mitrokhin-files/
239,WRMIM5GV,CWGJFM8B,Capturing Eichmann: The Memoirs of a Mossad Spymaster,Book review by Ian B. Ericson,https://www.cia.gov/resources/csi/studies-in-intelligence/studies-in-intelligence-67-no-1-extracts-march-2023/review-capturing-eichmann-the-memoir-of-a-mossad-spymaster/
240,FNSZP6VD,6V6QDP9F,White Malice: The CIA and the Neocolonisation of Africa,Book review by Charles Long,https://www.cia.gov/resources/csi/studies-in-intelligence/studies-in-intelligence-67-no-1-extracts-march-2023/review-white-malice-the-cia-and-the-covert-recolonization-of-africa/
241,33RS3V5G,YHYKNYM6,Hitler's Nest of Vipers: The Rise Of The Abwehr,Book review by Gramah Alexander,https://www.cia.gov/resources/csi/studies-in-intelligence/studies-in-intelligence-67-no-2-extracts-june-2023/review-hitlers-nest-of-vipers/
242,ZSKWQ4J9,9T68TY6G,"Hacker, Influencer, Faker, Spy: Intelligence Agencies in the Digital Age",Book review by Beth Whittaker,https://doi.org/10.1080/23738871.2024.2345682
